SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING
CPEDU,Career Point Edutech Limited,EQ,05-SEP-2025
CPL,Captain Polyplast Limited,EQ,23-JUL-2026
CPPLUS,Aditya Infotech Limited,EQ,05-AUG-2025
CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021
CRAMC,Canara Robeco Asset Management Company Limited,EQ,16-OCT-2025
CREATIVEYE,Creative Eye Limited,EQ,20-DEC-2000
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018
CREST,Crest Ventures Limited,EQ,27-DEC-2006
CRISIL,Crisil Limited,EQ,28-JUN-1995
CRIZAC,Crizac Limited,EQ,09-JUL-2025
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016
CROWN,Crown Lifters Limited,EQ,08-FEB-2022
CSBBANK,CSB Bank Limited,EQ,04-DEC-2019
CSLFINANCE,CSL Finance Limited,EQ,21-JUL-2022
CSM,CSM Technologies Limited,EQ,02-JUL-2026
CTE,Cambridge Technology Enterprises Limited,EQ,07-FEB-2007
CUB,City Union Bank Limited,EQ,25-AUG-1998
CUBEXTUB,Cubex Tubings Limited,EQ,24-APR-1996
CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995
CUPID,Cupid Limited,EQ,16-SEP-2016
CURAA,Cura Technologies Limited,EQ,21-MAR-2025
CYIENT,Cyient Limited,EQ,30-SEP-1998
CYIENTDLM,Cyient DLM Limited,EQ,10-JUL-2023
DABUR,Dabur India Limited,EQ,28-APR-1999
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996
DAMCAPITAL,Dam Capital Advisors Limited,EQ,27-DEC-2024
DANGEE,Dangee Dums Limited,EQ,13-NOV-2020
DATAMATICS,Datamatics Global Services Limited,EQ,07-MAY-2004
DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021
DAVANGERE,Davangere Sugar Company Limited,EQ,25-JAN-2024
DBCORP,D.B.Corp Limited,EQ,06-JAN-2010
DBL,Dilip Buildcon Limited,EQ,11-AUG-2016
DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022
DCAL,Dishman Carbogen Amcis Limited,EQ,21-SEP-2017
DCBBANK,DCB Bank Limited,EQ,27-OCT-2006
DCI,Dc Infotech And Communication Limited,EQ,19-OCT-2022
DCMFINSERV,DCM Financial Services Limited,EQ,21-MAY-1997
DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995
DCMSRIND,DCM Shriram Industries Limited,EQ,24-DEC-2021
DCW,DCW Limited,EQ,25-MAY-1995
DCXINDIA,DCX Systems Limited,EQ,11-NOV-2022
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,15-JAN-2025
DECCANCE,Deccan Cements Limited,EQ,02-AUG-2007
DECNGOLD,Deccan Gold Mines Limited,EQ,20-APR-2026
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010
DEEPINDS,Deep Industries Limited,EQ,27-APR-2021
DELHIVERY,Delhivery Limited,EQ,24-MAY-2022
DELTACORP,Delta Corp Limited,EQ,02-NOV-2007
DELTAMAGNT,Delta Manufacturing Limited,EQ,18-OCT-1995
DEN,Den Networks Limited,EQ,24-NOV-2009
DENORA,De Nora India Limited,EQ,07-AUG-1997
DENTA,Denta Water and Infra Solutions Limited,EQ,29-JAN-2025
DEVIT,Dev Information Technology Limited,EQ,15-FEB-2022
DEVX,Dev Accelerator Limited,EQ,17-SEP-2025
DEVYANI,Devyani International Limited,EQ,16-AUG-2021
DGCONTENT,Digicontent Limited,EQ,18-JUN-2019
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995
DHANBANK,Dhanlaxmi Bank Limited,EQ,01-APR-2004
DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-DEC-2022
DHUNINV,Dhunseri Investments Limited,EQ,18-MAR-2011
DIACABS,Diamond Power Infrastructure Limited,EQ,15-SEP-2023
DIAMINESQ,Diamines & Chemicals Limited,EQ,25-SEP-2023
DIAMONDYD,Prataap Snacks Limited,EQ,05-OCT-2017
DICIND,DIC India Limited,EQ,30-AUG-1995
DIFFNKG,Diffusion Engineers Limited,EQ,04-OCT-2024
DIGIDRIVE,Digidrive Distributors Limited,EQ,10-JAN-2024
DIGITIDE,Digitide Solutions Limited,EQ,11-JUN-2025
DIGJAMLMTD,Digjam Limited,EQ,18-OCT-2021
DISAQ,Disa India Limited,EQ,20-APR-2026
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,14-MAR-2023
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003
DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017
DJML,DJ Mediaprint & Logistics Limited,EQ,05-DEC-2022
DLF,DLF Limited,EQ,05-JUL-2007
DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021
DNAMEDIA,Diligent Media Corporation Limited,EQ,11-DEC-2017
DODLA,Dodla Dairy Limited,EQ,28-JUN-2021
DOLATALGO,Dolat Algotech Limited,EQ,12-JAN-2024
DOLLAR,Dollar Industries Limited,EQ,21-APR-2017
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ,21-AUG-2023
DOMS,DOMS Industries Limited,EQ,20-DEC-2023
DONEAR,Donear Industries Limited,EQ,20-DEC-2006
DPABHUSHAN,D. P. Abhushan Limited,EQ,03-NOV-2020
DRAGARWQ,Dr Agarwals Eye Hospital Limited,EQ,20-APR-2026
DRCSYSTEMS,DRC Systems India Limited,EQ,10-MAR-2021
DREAMFOLKS,Dreamfolks Services Limited,EQ,06-SEP-2022
DREDGECORP,Dredging Corporation of India Limited,EQ,15-JAN-2004
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003
DSSL,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011
DTIL,Dhunseri Tea & Industries Limited,EQ,20-JAN-2015
DUCON,Ducon Infratechnologies Limited,EQ,09-OCT-2012
DVL,Dhunseri Ventures Limited,EQ,11-JAN-2008
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004
DYCL,Dynamic Cables Limited,EQ,27-JUL-2022
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-SEP-2006
DYNPRO,Dynemic Products Limited,EQ,19-JUL-2017
E2E,E2E Networks Limited,EQ,12-APR-2022
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-MAR-2021
EBGNG,GNG Electronics Limited,EQ,30-JUL-2025
ECLERX,eClerx Services Limited,EQ,31-DEC-2007
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-DEC-2007
EFCIL,EFC (I) Limited,EQ,20-AUG-2025
EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004
EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995
EIEL,Enviro Infra Engineers Limited,EQ,29-NOV-2024
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-APR-2008
EIHOTEL,EIH Limited,EQ,08-FEB-1995
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-APR-1996
EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005
ELANTAS,Elantas Beck India Limited,EQ,20-APR-2026
ELCIDIN,EL CID Investments Limited,EQ,20-APR-2026
ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-APR-2022
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006
ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003
ELECTHERM,Electrotherm (India) Limited,EQ,20-AUG-2007
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-AUG-2011
ELIN,Elin Electronics Limited,EQ,30-DEC-2022
ELITECON,Elitecon International Limited,EQ,20-APR-2026
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,01-JUL-2025
ELPROINTL,Elpro International Limited,EQ,20-APR-2026
EMAMILTD,Emami Limited,EQ,03-AUG-2006
EMBDL,Embassy Developments Limited,EQ,23-MAR-2007
EMCURE,Emcure Pharmaceuticals Limited,EQ,10-JUL-2024
EMIL,Electronics Mart India Limited,EQ,17-OCT-2022
EMKAY,Emkay Global Financial Services Limited,EQ,28-APR-2006
EMMVEE,Emmvee Photovoltaic Power Limited,EQ,18-NOV-2025
EMSLIMITED,EMS Limited,EQ,21-SEP-2023
EMUDHRA,eMudhra Limited,EQ,01-JUN-2022
ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016
ENERGYDEV,Energy Development Company Limited,EQ,02-NOV-2007
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997
ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006
ENRIN,Siemens Energy India Limited,EQ,19-JUN-2025
ENTERO,Entero Healthcare Solutions Limited,EQ,16-FEB-2024
EPACK,EPACK Durable Limited,EQ,30-JAN-2024
EPACKPEB,EPack Prefab Technologies Limited,EQ,01-OCT-2025
EPIGRAL,Epigral Limited,EQ,18-AUG-2021
EPL,EPL Limited,EQ,11-FEB-2002
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020
ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017
ESABINDIA,Esab India Limited,EQ,01-NOV-1995
ESAFSFB,ESAF Small Finance Bank Limited,EQ,10-NOV-2023
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995
ESSARSHPNG,Essar Shipping Limited,EQ,15-NOV-2011
ESTER,Ester Industries Limited,EQ,20-JUN-2011
ETERNAL,ETERNAL LIMITED,EQ,23-JUL-2021
ETHOSLTD,Ethos Limited,EQ,30-MAY-2022
EUREKAFORB,Eureka Forbes Limited,EQ,11-SEP-2024
EUROBOND,Euro Panel Products Limited,EQ,01-AUG-2025
EUROPRATIK,Euro Pratik Sales Limited,EQ,23-SEP-2025
EVEREADY,Eveready Industries India Limited,EQ,27-APR-2005
EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004
EXCELSOFT,Excelsoft Technologies Limited,EQ,26-NOV-2025
EXICOM,Exicom Tele-Systems Limited,EQ,05-MAR-2024
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003
EXPLEOSOL,Expleo Solutions Limited,EQ,26-OCT-2009
EXXARO,Exxaro Tiles Limited,EQ,16-AUG-2021
FABTECH,Fabtech Technologies Limited,EQ,07-OCT-2025
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995
FAZE3Q,Faze Three Limited,EQ,18-NOV-2022
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015
FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005
FDC,FDC Limited,EQ,07-AUG-1997
FEDDERSHOL,Fedders Holding Limited,EQ,20-APR-2026
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995
FEDFINA,Fedbank Financial Services Limited,EQ,30-NOV-2023
FERMENTA,Fermenta Biotech Limited,EQ,20-APR-2026
FIBERWEB,Fiberweb (India) Limited,EQ,16-FEB-2022
FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006
FILATEX,Filatex India Limited,EQ,29-AUG-2011
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995
FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018
FINKURVE,Finkurve Financial Services Limited,EQ,01-OCT-2025
FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995
FIRSTCRY,Brainbees Solutions Limited,EQ,13-AUG-2024
FISCHER,Fischer Medical Ventures Limited,EQ,10-JUL-2025
FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022
FLAIR,Flair Writing Industries Limited,EQ,01-DEC-2023
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995
FOODSIN,Foods & Inns Limited,EQ,16-NOV-2021
FORCEMOT,FORCE MOTORS LTD,EQ,14-FEB-2024
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007
FOSECOIND,Foseco India Limited,EQ,05-MAY-2003
FRACTAL,Fractal Analytics Limited,EQ,16-FEB-2026
FRONTSP,Frontier Springs Limited,EQ,20-APR-2026
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007
FUSION,Fusion Finance Limited,EQ,15-NOV-2022
GABRIEL,Gabriel India Limited,EQ,20-APR-2005
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000
GAIL,GAIL (India) Limited,EQ,02-APR-1997
GALAPREC,Gala Precision Engineering Limited,EQ,09-SEP-2024
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018
GALLANTT,Gallantt Ispat Limited,EQ,04-APR-2006
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,30-NOV-2023
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007
GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015
GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021
GANESHCP,Ganesh Consumer Products Limited,EQ,29-SEP-2025
GANESHHOU,GANESH HOUSING LIMITED,EQ,02-MAR-2007
GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017
GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007
GARUDA,Garuda Construction and Engineering Limited,EQ,15-OCT-2024
GATECH,GACM Technologies Limited,EQ,25-JUL-2016
GATECHDVR,GACM Technologies Limited,EQ,10-OCT-2017
GATEWAY,Gateway Distriparks Limited,EQ,22-MAR-2022
GAYAHWS,Gayatri Highways Limited,EQ,28-JUN-2018
GCSL,Gretex Corporate Services Limited,EQ,04-SEP-2025
GEEKAYWIRE,Geekay Wires Limited,EQ,06-MAR-2020
GEMAROMA,Gem Aromatics Limited,EQ,26-AUG-2025
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-FEB-2021
GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006
GFLLIMITED,GFL Limited,EQ,25-MAY-1995
GHCL,GHCL Limited,EQ,31-JUL-2003
GHCLTEXTIL,GHCL Textiles Limited,EQ,12-JUN-2023
GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996
GICL,Globe International Carriers Limited,EQ,18-FEB-2026
GICRE,General Insurance Corporation of India,EQ,25-OCT-2017
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-DEC-2009
GILLETTE,Gillette India Limited,EQ,30-JUL-2003
GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995
GKENERGY,GK Energy Limited,EQ,26-SEP-2025
GKSL,Gujarat Kidney And Super Speciality Limited,EQ,30-DEC-2025
GKWLIMITED,GKW Limited,EQ,20-JUL-2009
GLAND,Gland Pharma Limited,EQ,20-NOV-2020
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000
GLOBAL,Global Education Limited,EQ,07-DEC-2020
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-OCT-2006
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,07-OCT-2020
GLOBECIVIL,Globe Civil Projects Limited,EQ,01-JUL-2025
GLOBUSSPR,Globus Spirits Limited,EQ,23-SEP-2009
GLOSTERLTD,Gloster Limited,EQ,26-APR-2024
GMBREW,GM Breweries Limited,EQ,23-AUG-1995
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,21-AUG-2006
GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-MAR-2022
GNA,GNA Axles Limited,EQ,26-SEP-2016
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995
GNRL,Gujarat Natural Resources Limited,EQ,20-APR-2026
GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007
GOCLCORP,GOCL Corporation Limited,EQ,26-JUN-2014
GOCOLORS,Go Fashion (India) Limited,EQ,30-NOV-2021
GODAVARIB,Godavari Biorefineries Limited,EQ,30-OCT-2024
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996
GODIGIT,Go Digit General Insurance Limited,EQ,23-MAY-2024
GODREJAGRO,Godrej Agrovet Limited,EQ,16-OCT-2017
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001
GODREJIND,Godrej Industries Limited,EQ,25-FEB-2003
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010
GOKEX,Gokaldas Exports Limited,EQ,27-APR-2005
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-JUN-2008
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-MAR-2016
GOLDIAM,Goldiam International Limited,EQ,29-AUG-2005
GOODLUCK,Goodluck India Limited,EQ,08-JAN-2015
GOODYEAR,Goodyear India Limited,EQ,20-APR-2026
GOPAL,Gopal Snacks Limited,EQ,14-MAR-2024
GOYALALUM,Goyal Aluminiums Limited,EQ,04-NOV-2022
GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006
GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010
GPTHEALTH,GPT Healthcare Limited,EQ,29-FEB-2024
GPTINFRA,GPT Infraprojects Limited,EQ,11-JUL-2016
GRANDOAK,Grand Oak Canyons Distillery Limited,EQ,20-APR-2026
GRANULES,Granules India Limited,EQ,20-JUN-2005
GRAPHITE,Graphite India Limited,EQ,07-FEB-2003
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995
GRAUWEIL,Grauer & Weil India Limited,EQ,20-APR-2026
GRAVISSHO,Graviss Hospitality Limited,EQ,20-APR-2026
GRAVITA,Gravita India Limited,EQ,16-NOV-2010
GREAVESCOT,Greaves Cotton Limited,EQ,09-SEP-2004
GREENLAM,Greenlam Industries Limited,EQ,02-MAR-2015
GREENPANEL,Greenpanel Industries Limited,EQ,23-OCT-2019
GREENPLY,Greenply Industries Limited,EQ,06-MAR-1996
GREENPOWER,Orient Green Power Company Limited,EQ,08-OCT-2010
GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006
GRINFRA,G R Infraprojects Limited,EQ,19-JUL-2021
GRMOVER,GRM Overseas Limited,EQ,07-SEP-2022
GROBTEA,The Grob Tea Company Limited,EQ,14-JUL-2016
GROWW,Billionbrains Garage Ventures Limited,EQ,12-NOV-2025
GRPLTD,GRP Limited,EQ,12-FEB-2015
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-OCT-2018
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-FEB-2022
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995
GSLSU,Global Surfaces Limited,EQ,23-MAR-2023
GSPCROP,GSP Crop Science Limited,EQ,24-MAR-2026
GSS,GSS Infotech Limited,EQ,07-MAR-2008
GTL,GTL Limited,EQ,29-MAR-1995
GTLINFRA,GTL Infrastructure Limited,EQ,09-NOV-2006
GTPL,GTPL Hathway Limited,EQ,04-JUL-2017
GUFICBIO,Gufic Biosciences Limited,EQ,19-OCT-2004
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-JUN-2007
GUJENERGY,GUJARAT ENERGY LIMITED,EQ,15-SEP-2015
GUJRAFFIA,Gujarat Raffia Industries Limited,EQ,09-OCT-1996
GUJTHEM,Gujarat Themis Biosyn Limited,EQ,25-FEB-2025
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014
GULPOLY,Gulshan Polyols Limited,EQ,28-JAN-2015
GVPIL,GE Power India Limited,EQ,19-APR-2000
GVPTECH,GVP Infotech Limited,EQ,06-SEP-2022
GVT&D,GE Vernova T&D India Limited,EQ,30-JUN-2008
GYFTR,Gyftr Limited,EQ,10-JUL-2026
HAL,Hindustan Aeronautics Limited,EQ,28-MAR-2018
HALDER,Halder Venture Limited,EQ,19-JAN-2026
HALEOSLABS,HALEOS LABS LIMITED,EQ,17-AUG-2017
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-SEP-2020
HAPPYFORGE,Happy Forgings Limited,EQ,27-DEC-2023
HARDWYN,Hardwyn India Limited,EQ,12-APR-2022
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022
HARRMALAYA,Harrisons  Malayalam Limited,EQ,08-FEB-1995
HARSHA,Harsha Engineers International Limited,EQ,26-SEP-2022
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-FEB-2010
HATSUN,Hatsun Agro Product Limited,EQ,20-JUN-2014
HAVELLS,Havells India Limited,EQ,21-MAR-2001
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,EQ,16-FEB-2000
HAWKINCOOK,Hawkins Cookers Limited,EQ,20-APR-2026
HBESD,HB Estate Developers Limited,EQ,20-APR-2026
HBLENGINE,HBL Engineering Limited,EQ,04-JAN-2007
HCC,Hindustan Construction Company Limited,EQ,01-APR-2003
HCG,Healthcare Global Enterprises Limited,EQ,30-MAR-2016
HCL-INSYS,HCL Infosystems Limited,EQ,01-JAN-1997
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000
HDBFS,HDB Financial Services Limited,EQ,02-JUL-2025
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017
HEADSUP,Heads UP Ventures Limited,EQ,14-DEC-2016
HEALTHX,Health X Platform Limited,EQ,05-OCT-2010
HECPROJECT,HEC Infra Projects Limited,EQ,30-DEC-2021
HEG,HEG Limited,EQ,10-MAY-1995
HEIDELBERG,HeidelbergCement India Limited,EQ,15-MAR-1995
HEMIPROP,Hemisphere Properties India Limited,EQ,22-OCT-2020
HERANBA,Heranba Industries Limited,EQ,05-MAR-2021
HERITGFOOD,Heritage Foods Limited,EQ,27-NOV-1996
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003
HESTERBIO,Hester Biosciences Limited,EQ,13-MAR-2015
HEXATRADEX,Hexa Tradex Limited,EQ,20-APR-2012
HEXT,Hexaware Technologies Limited,EQ,19-FEB-2025
HFCL,HFCL Limited,EQ,09-MAR-2011
HGINFRA,H.G. Infra Engineering Limited,EQ,09-MAR-2018
HGM,HandsOn Global Management (HGM) Limited,EQ,27-SEP-2006
HGS,Hinduja Global Solutions Limited,EQ,19-JUN-2007
HIKAL,Hikal Limited,EQ,14-FEB-2001
HILINFRA,Highway Infrastructure Limited,EQ,12-AUG-2025
HIMATSEIDE,Himatsingka Seide Limited,EQ,08-FEB-1995
HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997
HINDCOMPOS,Hindustan Composites Limited,EQ,08-MAY-1996
HINDCON,Hindcon Chemicals Limited,EQ,05-JUL-2021
HINDCOPPER,Hindustan Copper Limited,EQ,15-SEP-2010
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-SEP-2003
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995
HINDWAREAP,Hindware Home Innovation Limited,EQ,26-DEC-2019
HINDZINC,Hindustan Zinc Limited,EQ,21-NOV-2006
HIRECT,Hind Rectifiers Limited,EQ,26-DEC-2006
HISARMETAL,Hisar Metal Industries Limited,EQ,05-JAN-2017
HITECH,Hi-Tech Pipes Limited,EQ,07-MAY-2018
HLEGLAS,HLE Glascoat Limited,EQ,09-FEB-2023
HLVLTD,HLV LIMITED,EQ,19-JUL-1995
HMAAGRO,HMA Agro Industries Limited,EQ,04-JUL-2023
HMVL,Hindustan Media Ventures Limited,EQ,21-JUL-2010
HNDFDS,Hindustan Foods Limited,EQ,06-JUN-2023
HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021
HONASA,Honasa Consumer Limited,EQ,07-NOV-2023
HONAUT,Honeywell Automation India Limited,EQ,18-JUL-2003
HONDAPOWER,Honda India Power Products Limited,EQ,01-APR-2003
HPAL,HP Adhesives Limited,EQ,27-DEC-2021
HPIL,Hindprakash Industries Limited,EQ,07-NOV-2022
HPL,HPL Electric & Power Limited,EQ,04-OCT-2016
HSCL,Himadri Speciality Chemical Limited,EQ,02-MAR-2007
HTMEDIA,HT Media Limited,EQ,01-SEP-2005
HUBTOWN,Hubtown Limited,EQ,07-FEB-2007
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017
HUHTAMAKI,Huhtamaki India Limited,EQ,01-OCT-2004
HYUNDAI,Hyundai Motor India Limited,EQ,22-OCT-2024
ICDSLTD,ICDS Limited,EQ,17-NOV-1999
ICEMAKE,Ice Make Refrigeration Limited,EQ,12-OCT-2020
ICICIAMC,ICICI Prudential Asset Management Company Limited,EQ,19-DEC-2025
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016
ICIL,Indo Count Industries Limited,EQ,12-SEP-2005
ICRA,ICRA Limited,EQ,13-APR-2007
IDBI,IDBI Bank Limited,EQ,20-SEP-1995
IDEA,Vodafone Idea Limited,EQ,09-MAR-2007
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015
IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017
IFBIND,IFB Industries Limited,EQ,29-MAR-1995
IFCI,IFCI Limited,EQ,26-APR-1995
IFGLEXPOR,IFGL Refractories Limited,EQ,14-NOV-2017
IGARASHI,Igarashi Motors India Limited,EQ,09-OCT-2003
IGCL,Indogulf Cropsciences Limited,EQ,03-JUL-2025
IGIL,International Gemological Institute Limited,EQ,20-DEC-2024
IGL,Indraprastha Gas Limited,EQ,26-DEC-2003
IGPL,IG Petrochemicals Limited,EQ,29-JAN-2007
IIFL,IIFL Finance Limited,EQ,17-MAY-2005
IIFLCAPS,IIFL Capital Services Limited,EQ,20-SEP-2019
IITL,Industrial Investment Trust Limited,EQ,17-AUG-2010
IKIO,IKIO Technologies Limited,EQ,16-JUN-2023
IKS,Inventurus Knowledge Solutions Limited,EQ,19-DEC-2024
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,06-APR-2015
IMFA,Indian Metals & Ferro Alloys Limited,EQ,23-JUL-2010
IMPAL,India Motor Parts and Accessories Limited,EQ,07-OCT-2005
INA,Insolation Energy Limited,EQ,09-MAR-2026
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,EQ,01-JUL-2016
INDBANK,Indbank Merchant Banking Services Limited,EQ,08-OCT-2008
INDGN,Indegene Limited,EQ,13-MAY-2024
INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996
INDIACEM,The India Cements Limited,EQ,31-MAY-2000
INDIAGLYCO,India Glycols Limited,EQ,01-JUL-2005
INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019
INDIANB,Indian Bank,EQ,01-MAR-2007
